Chromosome	TADborder	p53_inactive	p53_active_1h	p53_active_4h	p53_active_7h	p53_active_10h	p53_active_24h	individual_TADstate.p53_inactive	individual_TADstate.p53_active_1h	individual_TADstate.p53_active_4h	individual_TADstate.p53_active_7h	individual_TADstate.p53_active_10h	individual_TADstate.p53_active_24h	Category_tads
3619	chr1	116650000	10	 9	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3620	chr1	116800000	 0	 0	 0	 0	 0	 7	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3621	chr7	116800000	10	10	 5	 8	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3622	chr9	116850000	 7	 7	 6	 8	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3623	chr10	116875000	10	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3624	chr4	116893750	 8	 5	 6	 7	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3625	chr12	116900000	 7	 0	 0	 0	 9	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3626	chr6	117000000	 7	 0	 5	 5	 9	10	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
3627	chr1	117075000	10	 6	 6	 9	 9	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3628	chr9	117100000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3629	chr12	117154687	10	 6	 6	 6	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3630	chr11	117157812	10	 6	 5	10	 6	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3631	chrX	117200000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3632	chr6	117237500	 7	 7	 0	 0	 9	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
3633	chr9	117428125	 9	 0	 5	 7	 8	 6	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
3634	chrX	117450000	 9	10	 9	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3635	chr8	117550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3636	chr12	117575000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3637	chr6	117600000	 5	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3638	chr1	117631250	 5	 6	 5	 8	 7	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3639	chrX	117750000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3640	chr9	117800000	 0	 0	 7	 0	 0	 0	NoTAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-TAD-NoTAD-NoTAD-NoTAD
3641	chr6	117850000	 5	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3642	chr7	117873437	 8	 6	 8	10	 9	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3643	chr8	117875000	10	 8	 9	 9	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3644	chr1	117950000	 0	 0	 0	 0	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3645	chr11	118000000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3646	chr6	118150000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3647	chr1	118175000	 6	 0	 0	 0	 0	 5	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3648	chr10	118250000	10	 7	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3649	chr5	118300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3650	chr12	118300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3651	chr9	118346875	10	10	 7	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3652	chr8	118350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3653	chrX	118350000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3654	chr11	118495312	 5	 5	 6	 7	 7	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3655	chr10	118528125	 9	 4	 6	 9	 0	 7	TAD	NoTAD	TAD	TAD	NoTAD	TAD	TAD-NoTAD-TAD-TAD-NoTAD-TAD
3656	chr1	118550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3657	chr12	118550000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3658	chrX	118562500	 0	10	10	 6	10	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
3659	chr3	118600000	10	 4	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3660	chr2	118600000	10	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3661	chr9	118700000	 0	 0	 0	 0	 0	 8	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3662	chr5	118800000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3663	chr12	118814062	10	 6	 7	 6	 6	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3664	chr2	118900000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3665	chr11	118900000	 6	 6	 8	 0	10	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
3666	chr3	118932812	 6	 6	 5	 7	 6	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3667	chr6	118950000	 6	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3668	chr10	118950000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3669	chrX	119025000	 8	 5	 5	 7	 5	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3670	chr10	119200000	 6	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3671	chr4	119200000	10	10	10	10	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3672	chr11	119210937	10	10	10	 9	 9	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3673	chr6	119300000	10	 5	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3674	chr3	119300000	 0	 0	 0	 0	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3675	chrX	119350000	 6	 0	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3676	chr9	119460937	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3677	chr3	119509375	 9	 7	 5	 6	 5	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3678	chr1	119575000	10	 6	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3679	chr4	119620312	 8	 6	 4	 4	 6	 7	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
3680	chrX	119650000	10	 5	 4	 6	 6	 6	TAD	TAD	NoTAD	TAD	TAD	TAD	TAD-TAD-NoTAD-TAD-TAD-TAD
3681	chr3	119700000	 0	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3682	chr2	119709375	10	 0	 5	 7	10	 5	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
3683	chr8	119750000	10	 7	 9	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3684	chrX	119853125	 7	 5	 5	10	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3685	chr4	119900000	10	 9	 4	 4	10	 6	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
3686	chr5	119912500	 6	 7	 5	 8	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3687	chr3	119950000	10	10	 0	10	10	10	TAD	TAD	NoTAD	TAD	TAD	TAD	TAD-TAD-NoTAD-TAD-TAD-TAD
3688	chr1	119968750	 7	 5	 5	10	 6	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3689	chr2	120050000	 8	 8	 8	10	 9	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3690	chr12	120100000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3691	chr11	120100000	10	 7	 8	 9	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3692	chr3	120225000	10	 7	 6	 7	 5	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3693	chr10	120278125	10	10	 5	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3694	chr11	120350000	10	 8	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3695	chr2	120400000	 8	 7	 5	 5	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3696	chr4	120414062	10	 5	 4	 4	 9	 5	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
3697	chr7	120425000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3698	chr8	120475000	10	 0	 0	 0	10	 5	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
3699	chr12	120510937	10	 7	 9	10	 9	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3700	chr10	120600000	 7	 0	 0	 0	 7	 4	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3701	chr12	120721875	10	 7	 9	10	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3702	chr7	120750000	10	 0	 0	 0	 0	10	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3703	chr8	120775000	 8	10	10	10	 7	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3704	chr10	120864062	 7	 7	 9	 6	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3705	chr2	120951562	 7	 5	 5	 7	 5	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3706	chr4	121000000	10	10	10	10	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3707	chr8	121050000	10	 6	 0	 0	10	 9	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
3708	chr11	121100000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3709	chr7	121150000	10	 0	 0	 0	 0	 9	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3710	chr2	121200000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3711	chr3	121237500	 6	 9	10	 8	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3712	chr8	121250000	 0	 0	 0	 0	 0	 9	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3713	chr10	121300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3714	chr6	121350000	 0	 0	 8	10	10	 0	NoTAD	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD-NoTAD-TAD-TAD-TAD-NoTAD
3715	chr2	121450000	10	 9	 0	 0	 7	 7	TAD	TAD	NoTAD	NoTAD	TAD	TAD	TAD-TAD-NoTAD-NoTAD-TAD-TAD
3716	chr8	121450000	10	 6	 0	 0	10	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
3717	chr11	121475000	10	10	10	 0	 0	 4	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD	TAD-TAD-TAD-NoTAD-NoTAD-NoTAD
3718	chr5	121500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3719	chr1	121500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3720	chr8	121650000	 0	 0	 0	 0	 0	 3	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3721	chr6	121650000	10	10	 0	 0	 0	 0	TAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
3722	chr7	121650000	10	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3723	chr3	121650000	 0	 0	 0	 0	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3724	chr10	121651562	10	 5	 9	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3725	chr5	121750000	 7	 7	 7	 8	 6	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3726	chr2	121850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3727	chr8	121925000	10	10	10	10	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3728	chr12	122000000	 6	 8	 6	 6	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
3729	chr3	122100000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3730	chr2	122125000	 5	 7	 7	 4	10	 7	TAD	TAD	TAD	NoTAD	TAD	TAD	TAD-TAD-TAD-NoTAD-TAD-TAD
3731	chr4	122125000	10	 8	10	10	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3732	chr12	122200000	 0	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3733	chr7	122225000	 9	 0	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3734	chr12	122350000	 9	 7	 5	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
3735	chr11	122450000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3736	chr2	122550000	 8	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3737	chr10	122600000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3738	chrX	122681250	10	 7	 7	 4	10	 7	TAD	TAD	TAD	NoTAD	TAD	TAD	TAD-TAD-TAD-NoTAD-TAD-TAD
3739	chr4	122703125	 8	10	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3740	chr6	122725000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3741	chr12	122728125	 6	 6	 9	 8	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3742	chr2	122850000	 6	 7	 6	 7	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
3743	chr11	122900000	10	10	10	10	10	 3	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3744	chrX	122900000	 6	 0	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3745	chr5	122962500	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3746	chr3	123000000	 9	 0	 0	 0	 0	 7	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3747	chr7	123100000	 5	 8	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3748	chr9	123100000	10	10	10	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
3749	chr11	123150000	 0	 0	 0	 0	 0	 5	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3750	chr6	123175000	10	10	10	10	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3751	chrX	123250000	10	 0	 0	 4	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3752	chr3	123300000	10	10	 9	 9	 6	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3753	chr9	123350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3754	chr12	123350000	 5	 9	 9	 0	10	10	TAD	TAD	TAD	NoTAD	TAD	TAD	TAD-TAD-TAD-NoTAD-TAD-TAD
3755	chrX	123450000	 8	 7	 9	 9	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3756	chr11	123450000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3757	chr4	123570312	10	 4	 4	 7	10	10	TAD	NoTAD	NoTAD	TAD	TAD	TAD	TAD-NoTAD-NoTAD-TAD-TAD-TAD
3758	chr11	123600000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3759	chr7	123626562	 6	 5	 5	 5	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3760	chr8	123650000	10	10	10	10	10	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3761	chr3	123700000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3762	chr6	123700000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3763	chr10	123700000	 9	10	 8	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3764	chr4	123750000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3765	chr12	123750000	10	 0	 0	 0	10	10	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
3766	chr4	123878125	 7	10	 7	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3767	chr10	124000000	10	 8	 7	 9	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3768	chr6	124050000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
3769	chr10	124150000	 0	 0	 0	 0	 0	 8	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3770	chr12	124159375	 4	 6	 7	 8	 5	10	NoTAD	TAD	TAD	TAD	TAD	TAD	NoTAD-TAD-TAD-TAD-TAD-TAD
3771	chr8	124250000	10	10	10	 8	 7	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3772	chr9	124262500	10	10	10	 8	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3773	chr10	124262500	 7	 5	 5	 5	 8	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
3774	chr3	124300000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3775	chr3	124450000	 0	10	10	10	10	10	NoTAD	TAD	TAD	TAD	TAD	TAD	NoTAD-TAD-TAD-TAD-TAD-TAD
3776	chr10	124450000	 0	 0	 5	 5	 5	 6	NoTAD	NoTAD	TAD	TAD	TAD	TAD	NoTAD-NoTAD-TAD-TAD-TAD-TAD
3777	chr12	124500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3778	chr11	124500000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3779	chr7	124548437	10	 6	 9	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3780	chr3	124600000	 3	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3781	chr10	124750000	 8	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3782	chr11	124750000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3783	chr8	124800000	10	 9	10	 8	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3784	chr9	124850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3785	chr12	124850000	 5	 4	 0	 0	 4	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3786	chr12	125000000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
3787	chr9	125150000	 6	 9	 8	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
3788	chr11	125150000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
